Column,Type,Example
job_id,object,AI00001
job_title,object,AI Research Scientist
salary_usd,int64,90376
salary_currency,object,USD
experience_level,object,SE
employment_type,object,CT
company_location,object,China
company_size,object,M
employee_residence,object,China
remote_ratio,int64,50
required_skills,object,"Tableau, PyTorch, Kubernetes, Linux, NLP"
education_required,object,Bachelor
years_experience,int64,9
industry,object,Automotive
posting_date,datetime64[ns],2024-10-18 00:00:00
application_deadline,datetime64[ns],2024-11-07 00:00:00
job_description_length,int64,1076
benefits_score,float64,5.9
company_name,object,Smart Analytics
